smiles,output_class,output_reg,compound_id,parent_chemblid,target_protein_id,target_chembl_id,uniprot_id,count,parent_pref_name,max_phase,first_approval,usan_year
COc1ccc(-n2c(COCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCCCCNC(=O)c3ccc(-c4c5ccc(=O)cc-5oc5cc(O)ccc45)c(C(=O)O)c3)nnc2N2CC(Oc3ccc(F)cc3Cl)C2)cn1,0.9998595,9.2773285,d125168,CHEMBL3559145,tp0430,CHEMBL1804,P30874,1,,,,
CCc1cc(OC)ccc1-c1ccc(C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@](C)(Cc2ccccc2F)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@@H](N)Cc2cnc[nH]2)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](Cc2ccc(-c3ccccc3C)cc2)C(N)=O)cc1,1.0,9.223694,d373735,CHEMBL577345,tp0013,CHEMBL249,P25103,1,,,,
CCc1cc(OC)ccc1-c1ccc(C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@](C)(Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@@H](N)Cc2cnc[nH]2)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](Cc2ccc(-c3ccccc3C)cc2)C(N)=O)cc1,1.0,9.043146,d373734,CHEMBL571743,tp0013,CHEMBL249,P25103,1,,,,
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1nn(C(C)C)c2ncnc(N)c12,0.71319926,9.066661,d120808,CHEMBL3426217,tp0430,CHEMBL1804,P30874,1,,,,
CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)CNC(C)=O)C(=O)N[C@H]1CCC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](O)CN2C1=O,0.9999999,9.268887,d046372,CHEMBL2070244,tp0430,CHEMBL1804,P30874,1,,,,
CCCNC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)NCCC)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,1.0,9.234987,d050551,CHEMBL314008,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4ccc(F)c5[nH]ncc45)c(-c4ccncc4)nn13)C2,0.6101059,9.135529,d374192,CHEMBL570681,tp0176,CHEMBL1628481,P35414,1,,,,
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4ccc(Cl)c5[nH]ncc45)c(-c4ccncc4)nn13)C2,0.78015363,9.099378,d374185,CHEMBL585144,tp0176,CHEMBL1628481,P35414,1,,,,
CCN(CC(O)(CNc1cc(C)cc2c1cnn2-c1ccc(F)cc1)C(F)(F)F)C(=O)c1ccccc1F,0.9999979,9.015066,d366678,CHEMBL564160,tp0013,CHEMBL249,P25103,1,,,,
CCCc1cc(-c2nc3c(s2)CCCC3)ccc1OCCCOc1ccc2c(c1)CC[C@H]2CC(=O)O,0.9999981,9.027706,d049773,CHEMBL2113263,tp0013,CHEMBL249,P25103,1,,,,
CCCc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,0.5749359,9.09468,d365000,CHEMBL500948,tp0430,CHEMBL1804,P30874,1,,,,
COP(=O)(OC)C(F)(Cc1cccc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,0.99589884,9.224128,d373077,CHEMBL571029,tp0075,CHEMBL254,P27815,1,,,,
CCOC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)c1ccccc1NC(=O)OCc1ccccn1)[C@@H](C)CC,1.0,9.406954,d125355,CHEMBL119898,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CCOC(=O)N[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)c1ccccc1NC(=O)OCc1ccccn1)C(C)C,1.0,9.357576,d125356,CHEMBL333420,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CO[C@]12C=C[C@@]3(C[C@]1(C)[C@H](O)c1ccccc1C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,0.9999992,9.471647,d126080,CHEMBL3580675,tp0093,CHEMBL237,P41145,1,,,,
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(CC2=CC3C=CSC3S2)C[C@H]1C(=O)NCC(F)(F)F,0.9997341,9.036306,d121505,CHEMBL419396,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
O=C1COc2ccc(CNC34CCC(CCc5ccnc6cc(Cl)cnc56)(CC3)OC4)nc2N1,0.7520622,9.396545,d120414,CHEMBL3422980,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
O=C1COc2ccc(CNC34CCC(CCc5ccnc6cc(F)cnc56)(CC3)OC4)nc2N1,0.6026664,9.253892,d120415,CHEMBL3422981,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(C(F)(F)F)nc56)(CC3)OC4)nc2N1,0.5439656,9.169809,d120411,CHEMBL3422977,tp0713,CHEMBL2063,Q16739,1,,,,
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccncc3)o2)C[C@H]1C(=O)NCC(F)(F)F,0.9999932,9.215265,d121755,CHEMBL114756,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
O=C1COc2ccc(CNC34CCC(C[C@]5(O)Cn6c(=O)ccc7ncc(Cl)c5c76)(CC3)OC4)nc2N1,0.9999069,9.876187,d117223,CHEMBL3402185,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCS(=O)(=O)CC1,1.0,9.175285,d122392,CHEMBL112609,tp0137,CHEMBL333,P08253,1,,,,
CCOC(=O)CN(C)c1c(F)c(Oc2cccc(C3=NCCN3C)c2)nc(Oc2cc(C(=N)N)ccc2O)c1F,0.9843947,9.269139,d130541,CHEMBL333266,tp0176,CHEMBL1628481,P35414,1,,,,
NC(=O)c1cc(CN2C(=O)N(Cc3ccc(F)c(C(N)=O)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)ccc1F,1.0,9.14912,d365730,CHEMBL289907,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CO[C@]12CC[C@@]3(C[C@]1(C)[C@H](O)c1ccc(Cl)s1)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,0.99999964,9.54272,d126091,CHEMBL3581760,tp0093,CHEMBL237,P41145,1,,,,
CO[C@]12CC[C@@]3(C[C@]1(C)[C@H](O)c1cccs1)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,0.9999998,9.7301235,d126092,CHEMBL3581761,tp0093,CHEMBL237,P41145,1,,,,
CNC(=O)[C@@H](NC(=O)[C@H](CCCCOc1ccc(F)cc1)CC(=O)NO)C(C)(C)C,1.0,9.041507,d050428,CHEMBL406131,tp0408,CHEMBL4588,P22894,1,,,,
CCN[C@H]1CO[C@@H]2OC[C@H](OC(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc(OC)cc3)[C@@H]21,1.0,9.036394,d129710,CHEMBL3605646,tp0003,CHEMBL243,Q72874,1,,,,
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCCCC1,1.0,9.088343,d122442,CHEMBL116287,tp0137,CHEMBL333,P08253,1,,,,
COc1cc2c(cc1OC(C)C)[C@H](c1ccc(Cl)cc1)N(c1ccc(N(C)C[C@H]3CC[C@H](N(C)C)CC3)cc1)C(=O)C2,1.0,9.011424,d128841,CHEMBL3601323,tp0013,CHEMBL249,P25103,1,,,,
CCN(CC)[C@H]1CO[C@@H]2OC[C@H](OC(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc(OC)cc3)[C@@H]21,1.0,9.097284,d129704,CHEMBL3605637,tp0003,CHEMBL243,Q72874,1,,,,
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCCC1,1.0,9.086598,d122537,CHEMBL114815,tp0137,CHEMBL333,P08253,1,,,,
CCC(=O)NCC1CCc2c(OC)cccc2N1C,1.0,9.158187,d130688,CHEMBL3612603,tp0530,CHEMBL1946;CHEMBL2094268,P49286;P49286,1,,,,
